id,abbreviation,state,normalWeight,meanHHincome,nodentist,noenglish,smokeeveryday,lessthanhighschool
1,AL,Alabama,31.5,59464,60,1.1,14.8,16.1
2,AK,Alaska,34,89094,64.4,2.1,13.5,14.5
3,AZ,Arizona,33.8,68103,59,4.8,11.1,17
4,AR,Arkansas,27.6,57693,57.1,1.8,17.7,14.2
5,CA,California,37.7,88595,65.1,9.3,7.7,13
6,CO,Colorado,40.5,82295,67,3,10.7,12.7
7,CT,Connecticut,38.1,100948,74.9,5.2,10.2,11.8
8,DE,Delaware,31,78773,66.5,2.2,14.7,15.3
9,DC,District of Columbia,43.1,103525,70.8,3.9,10,11.7
10,FL,Florida,35.7,67510,61.9,6.8,11.6,16.5
11,GA,Georgia,32.2,68820,60.6,3,12.4,16.9
12,HI,Hawaii,39.5,86866,71.6,6.1,9.6,8.5
13,ID,Idaho,32.8,64115,64.3,2.1,11.1,14.1
14,IL,Illinois,34.2,79379,63.9,4.6,11.3,12.8
15,IN,Indiana,31.4,64422,61.5,1.7,16.9,17
16,IA,Iowa,31.7,69618,69.4,1.6,13.7,10.7
17,KS,Kansas,32.3,71045,67.3,2.2,13.1,12.7
18,KY,Kentucky,30.8,59057,61,1.4,20.4,13.3
19,LA,Louisiana,29.6,63728,58.3,1.8,16.8,19.2
20,ME,Maine,33.8,65842,63.6,1.2,14.7,11.9
21,MD,Maryland,33.6,97016,70.2,3.1,10,12.2
22,MA,Massachusetts,38.7,95404,74.7,5.7,10,10.2
23,MI,Michigan,32.5,66794,68.6,1.8,15.6,13.1
24,MN,Minnesota,34.5,81824,72.6,2.3,11.4,12
25,MS,Mississippi,27.7,54887,56.8,0.8,15.5,17.9
26,MO,Missouri,32.9,65169,58.6,1,15.8,13.2
27,MT,Montana,35.2,62309,62.6,0.4,14,13.3
28,NE,Nebraska,31.7,68359,66.4,2.6,12.2,10.6
29,NV,Nevada,34,67029,59.9,6.8,10.8,18.2
30,NH,New Hampshire,35,86622,69.4,1.3,13,11.4
31,NJ,New Jersey,35.1,99055,70.2,7.1,9.5,12.1
32,NM,New Mexico,33.4,61470,61.3,5.4,12.7,18.3
33,NY,New York,37,86563,67.3,8.4,9.5,12.8
34,NC,North Carolina,32.5,65099,64.2,2.6,13,13.8
35,ND,North Dakota,29.8,79136,65.5,1.1,14.4,10.9
36,OH,Ohio,31.6,66252,65.3,1.4,15.6,13.7
37,OK,Oklahoma,29.9,64584,56.8,2.2,15.1,16.6
38,OR,Oregon,35.9,69210,65.7,2.9,12.1,13.6
39,PA,Pennsylvania,34.1,73112,66.8,2.4,13.9,12
40,RI,Rhode Island,36.1,77146,72.1,5.7,11.3,11.2
41,SC,South Carolina,31.4,61903,58.3,1.7,14.8,14.5
42,SD,South Dakota,33.4,66580,70.5,1,12.9,16
43,TN,Tennessee,31.1,62734,58.3,1.6,18.7,12.9
44,TX,Texas,30.4,75557,58.2,8.2,8.7,16.3
45,UT,Utah,38.2,77413,68.9,2.3,6.4,14.1
46,VT,Vermont,38,69973,72.2,0.5,11.7,8.6
47,VA,Virginia,33.5,88457,69.3,2.6,14,10.8
48,WA,Washington,34.5,81218,67,3.9,10.9,15.2
49,WV,West Virginia,28.4,54877,54.2,0.2,22.5,14.2
50,WI,Wisconsin,31.2,68953,70.1,1.6,12.9,11.1
51,WY,Wyoming,33.2,72305,65,1.1,14.3,12
52,PR,Puerto Rico,31.9,29976,65.8,0,7.6,11
