Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
-0.875,Tue Mar 20 18:46:10 +0000 2018,0.444,0.556,0.0,@BBCNews,Man guilty of hate crime for filming pug's 'Nazi salutes' https://t.co/UHAGJky1wP,1
-0.5574,Tue Mar 20 18:40:36 +0000 2018,0.847,0.153,0.0,@BBCNews,RAF spokesman confirms an engineer from the Red Arrows aerobatics team has died and a pilot is in hospital after a… https://t.co/jujlJXfEe3,2
-0.2144,Tue Mar 20 18:27:04 +0000 2018,0.598,0.236,0.166,@BBCNews,"RT @BBCBreaking: Engineer killed but pilot survived Red Arrows jet crash in north Wales earlier, RAF spokesman says https://t.co/Te4ebY3opa",3
0.0,Tue Mar 20 18:07:01 +0000 2018,1.0,0.0,0.0,@BBCNews,Jennie Formby named as Labour's new general secretary https://t.co/YsHOL3Md9C,4
-0.1893,Tue Mar 20 17:53:09 +0000 2018,0.932,0.068,0.0,@BBCNews,"RT @bbcweather: Cold snap or snow at Easter? The weather over Easter is still very uncertain, but it's not out of the realms of possibility…",5
0.0,Tue Mar 20 17:46:03 +0000 2018,1.0,0.0,0.0,@BBCNews,Katie Boyle: Former TV host dies aged 91 https://t.co/fb4clFlczI,6
-0.3818,Tue Mar 20 17:46:03 +0000 2018,0.809,0.191,0.0,@BBCNews,Stephen Hawking's ashes to be interred near Sir Isaac Newton's grave https://t.co/2Jzi0v14xR,7
-0.296,Tue Mar 20 16:44:54 +0000 2018,0.909,0.091,0.0,@BBCNews,RT @BBCBreaking: Ashes of Professor Stephen Hawking will be interred at Westminster Abbey near the graves of Sir Isaac Newton and Charles D…,8
-0.4019,Tue Mar 20 16:42:55 +0000 2018,0.87,0.13,0.0,@BBCNews,"RT @BBCWalesNews: Red Arrows crash eyewitness Howard Rigby heard an explosion and saw a ball of flames

Full story: https://t.co/993EsSZxGh…",9
-0.5994,Tue Mar 20 15:07:58 +0000 2018,0.698,0.302,0.0,@BBCNews,Sophie Lionnet death: Nanny 'pushed to confirm Boyzone claims' https://t.co/Wyp3d92Ngv,10
0.4767,Tue Mar 20 14:50:45 +0000 2018,0.707,0.092,0.201,@BBCNews,"RT @VictoriaLIVE: Actor Michael Sheen says he's investing his own money to fight high cost credit firms, after seeing friends and family af…",11
-0.802,Tue Mar 20 14:50:34 +0000 2018,0.455,0.545,0.0,@BBCNews,Exeter university students suspended over racism claims https://t.co/mcmSKpL7kn,12
0.0,Tue Mar 20 14:39:31 +0000 2018,1.0,0.0,0.0,@BBCNews,Aircraft crashes at RAF Valley on Anglesey https://t.co/3pbwZBLhow,13
0.0,Tue Mar 20 14:31:44 +0000 2018,1.0,0.0,0.0,@BBCNews,RT @BBCEngland: Ed Sheeran wants to build a private chapel on his Suffolk estate - but could newts put paid to his plans? https://t.co/g7zb…,14
-0.296,Tue Mar 20 14:20:03 +0000 2018,0.885,0.115,0.0,@BBCNews,#DeleteFacebook is trending after Cambridge Analytica is accused of using the personal data of 50 million Facebook… https://t.co/C6oYrURXI2,15
0.0,Tue Mar 20 14:16:25 +0000 2018,1.0,0.0,0.0,@BBCNews,Cambridge Analytica: Committee calls for Mark Zuckerberg evidence https://t.co/JT94IpzAI7,16
0.0,Tue Mar 20 13:58:06 +0000 2018,1.0,0.0,0.0,@BBCNews,"UK is ""disappointed"" EU will continue to set fish quotas during #Brexit transition, Environment Secretary Michael G… https://t.co/GqwsXOtWFE",17
0.3182,Tue Mar 20 13:44:53 +0000 2018,0.777,0.0,0.223,@BBCNews,Access to work: Funding increase for disabled workers https://t.co/lAOnp8RmlP,18
0.6124,Tue Mar 20 13:21:25 +0000 2018,0.739,0.0,0.261,@BBCNews,"What is it like to grow up with HIV? Meet three teenagers who want to share their stories. 

https://t.co/FS5d4oGfeq https://t.co/F7tXE7VFel",19
0.0,Tue Mar 20 12:40:15 +0000 2018,1.0,0.0,0.0,@BBCNews,Prince Harry and Meghan Markle choose their wedding cake https://t.co/vTlym0DvMj,20
-0.743,Tue Mar 20 11:38:12 +0000 2018,0.559,0.441,0.0,@BBCNews,"Telford abuse victim let down by authorities, says daughter https://t.co/qrRvxAlyhz",21
0.0,Tue Mar 20 11:25:08 +0000 2018,1.0,0.0,0.0,@BBCNews,Grenfell Tower: Council spends £21m keeping survivors in hotels https://t.co/6Ym9Pim8Uq,22
0.0772,Tue Mar 20 11:19:38 +0000 2018,0.843,0.0,0.157,@BBCNews,Cambodia: Briton given jail sentence over 'pornography' https://t.co/lCdXnSbTiJ,23
0.0,Tue Mar 20 10:55:04 +0000 2018,1.0,0.0,0.0,@BBCNews,Human remains found at 'cluttered' Aberaeron house https://t.co/f8kH7kVR39,24
-0.6124,Tue Mar 20 10:55:04 +0000 2018,0.583,0.417,0.0,@BBCNews,Spy poisoning: Russian diplomats prepare to leave UK https://t.co/LjgkUF551r,25
-0.4767,Tue Mar 20 10:13:21 +0000 2018,0.607,0.279,0.113,@BBCNews,"Motoring firm says bad weather means many local roads now pose a ""serious risk to the safety of users""
https://t.co/XlcNuMgevI",26
0.0,Tue Mar 20 10:08:23 +0000 2018,1.0,0.0,0.0,@BBCNews,"RT @BBCBreaking: FBI is investigating a blast at a FedEx depot in Texas, in the wake of four explosions in recent weeks https://t.co/NAg1Kg…",27
0.0,Tue Mar 20 09:39:21 +0000 2018,1.0,0.0,0.0,@BBCNews,UK inflation rate falls to 2.7% https://t.co/HkT53jMbEA,28
0.0,Tue Mar 20 09:38:12 +0000 2018,1.0,0.0,0.0,@BBCNews,"RT @BBCBreaking: UK inflation fell to 2.7% in February, as measured by Consumer Prices Index, down from 3% in January https://t.co/biny3Nxm…",29
-0.4019,Tue Mar 20 08:39:43 +0000 2018,0.787,0.213,0.0,@BBCNews,"RT @BBCPolitics: Working dads lose out in workplace, say MPs https://t.co/wLW3nFGCv0",30
0.0,Tue Mar 20 08:39:22 +0000 2018,1.0,0.0,0.0,@BBCNews,RT @zsk: Here's my guide to the  #CambridgeAnalyticaFiles story so far. Now waiting for Zuckerberg to respond... https://t.co/oVin3Rpazo,31
0.0,Tue Mar 20 08:38:42 +0000 2018,1.0,0.0,0.0,@BBCNews,RT @BBCFergusWalsh: Five new medical schools revealed: https://t.co/cw8Sjpqc3Q https://t.co/O7PTkUWsjd,32
-0.5994,Tue Mar 20 07:45:08 +0000 2018,0.642,0.358,0.0,@BBCNews,Telford pensioner investigated for Nazi war crimes https://t.co/ceHnNfrU2B,33
-0.4019,Tue Mar 20 07:18:52 +0000 2018,0.69,0.31,0.0,@BBCNews,Man injured in Hackney police shooting https://t.co/Qjac5BRxNC,34
0.4215,Tue Mar 20 06:27:00 +0000 2018,0.763,0.0,0.237,@BBCNews,Child rescued from car in river at Cardigan dies https://t.co/jF7bz4P0o9,35
0.4939,Tue Mar 20 05:39:47 +0000 2018,0.686,0.0,0.314,@BBCNews,Brexit: EU implementation agreement 'betrays' UK fishermen https://t.co/YYCgF6WBCS,36
0.0,Tue Mar 20 03:21:32 +0000 2018,1.0,0.0,0.0,@BBCNews,Police call for 'counter-terrorism citizens' https://t.co/gua6HoRdjK,37
-0.4767,Tue Mar 20 02:22:25 +0000 2018,0.744,0.256,0.0,@BBCNews,Thousands of miles of UK roads in poor condition https://t.co/UmBa42GDLs,38
-0.3182,Tue Mar 20 02:22:23 +0000 2018,0.465,0.318,0.217,@BBCNews,'Sexual misconduct' at disaster aid charity Shelterbox https://t.co/nt5dDeaa77,39
0.0,Tue Mar 20 01:08:55 +0000 2018,1.0,0.0,0.0,@BBCNews,Alfie Dingley's medical cannabis petition to be handed to government https://t.co/LnYFKk1zhW,40
0.5106,Tue Mar 20 01:08:53 +0000 2018,0.769,0.0,0.231,@BBCNews,Class A drugs 'brought in for patients' at Essex mental health trust https://t.co/EFrekdIwoj,41
0.0,Tue Mar 20 01:04:57 +0000 2018,1.0,0.0,0.0,@BBCNews,Under-doctored areas to get new medical schools https://t.co/9r7vkJlS05,42
-0.4019,Tue Mar 20 01:00:40 +0000 2018,0.748,0.252,0.0,@BBCNews,"Working dads lose out in workplace, say MPs https://t.co/12JlFk0ZNY",43
0.0,Tue Mar 20 00:56:27 +0000 2018,1.0,0.0,0.0,@BBCNews,"A third of Easter egg weight can be packaging, Which? says https://t.co/0qz0Dr9l10",44
